windspeed,Vestas.V80.2000
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0
0.52,0
0.53,0
0.54,0
0.55,0
0.56,0
0.57,0
0.58,0
0.59,0
0.6,0
0.61,0
0.62,0
0.63,0
0.64,0
0.65,0
0.66,0
0.67,0
0.68,0
0.69,0
0.7,0
0.71,0
0.72,0
0.73,0
0.74,0
0.75,0
0.76,0
0.77,0
0.78,0
0.79,0
0.8,0
0.81,0
0.82,0
0.83,0
0.84,0
0.85,0
0.86,0
0.87,0
0.88,0
0.89,0
0.9,0
0.91,0
0.92,0
0.93,0
0.94,0
0.95,0
0.96,0
0.97,0
0.98,0
0.99,0
1,0
1.01,0
1.02,0
1.03,0
1.04,0
1.05,0
1.06,0
1.07,0
1.08,0
1.09,0
1.1,0
1.11,0
1.12,0
1.13,0
1.14,0
1.15,0
1.16,0
1.17,0
1.18,0
1.19,0
1.2,0
1.21,0
1.22,0
1.23,0
1.24,0
1.25,0
1.26,0
1.27,0
1.28,0
1.29,0
1.3,0
1.31,0
1.32,0
1.33,0
1.34,0
1.35,0
1.36,0
1.37,0
1.38,0
1.39,0
1.4,0
1.41,0
1.42,0
1.43,0
1.44,1.00E-06
1.45,1.00E-06
1.46,1.00E-06
1.47,1.00E-06
1.48,2.00E-06
1.49,2.00E-06
1.5,3.00E-06
1.51,3.00E-06
1.52,4.00E-06
1.53,5.00E-06
1.54,6.00E-06
1.55,7.00E-06
1.56,8.00E-06
1.57,9.00E-06
1.58,1.10E-05
1.59,1.20E-05
1.6,1.40E-05
1.61,1.60E-05
1.62,2.00E-05
1.63,2.20E-05
1.64,2.50E-05
1.65,2.80E-05
1.66,3.20E-05
1.67,3.40E-05
1.68,3.80E-05
1.69,4.30E-05
1.7,5.00E-05
1.71,5.60E-05
1.72,5.90E-05
1.73,6.60E-05
1.74,7.30E-05
1.75,8.00E-05
1.76,8.90E-05
1.77,9.70E-05
1.78,0.000107
1.79,0.000122
1.8,0.000133
1.81,0.000145
1.82,0.000152
1.83,0.000166
1.84,0.00018
1.85,0.000195
1.86,0.000211
1.87,0.000228
1.88,0.000247
1.89,0.000266
1.9,0.000286
1.91,0.000319
1.92,0.000331
1.93,0.000355
1.94,0.00038
1.95,0.000421
1.96,0.00045
1.97,0.00048
1.98,0.000495
1.99,0.000528
2,0.000562
2.01,0.000597
2.02,0.000635
2.03,0.000673
2.04,0.000736
2.05,0.000779
2.06,0.000824
2.07,0.000871
2.08,0.000894
2.09,0.000943
2.1,0.000994
2.11,0.001048
2.12,0.001134
2.13,0.001193
2.14,0.00122
2.15,0.001281
2.16,0.001344
2.17,0.00141
2.18,0.001478
2.19,0.001548
2.2,0.001662
2.21,0.001738
2.22,0.001816
2.23,0.001896
2.24,0.001931
2.25,0.002015
2.26,0.0021
2.27,0.002188
2.28,0.002333
2.29,0.002372
2.3,0.002468
2.31,0.002565
2.32,0.002726
2.33,0.00283
2.34,0.002873
2.35,0.002981
2.36,0.003091
2.37,0.003273
2.38,0.00339
2.39,0.003437
2.4,0.003557
2.41,0.00368
2.42,0.003806
2.43,0.003934
2.44,0.004064
2.45,0.004197
2.46,0.004418
2.47,0.004559
2.48,0.004701
2.49,0.004847
2.5,0.004902
2.51,0.005051
2.52,0.005202
2.53,0.005454
2.54,0.005512
2.55,0.005672
2.56,0.005833
2.57,0.005998
2.58,0.006164
2.59,0.006444
2.6,0.006506
2.61,0.006681
2.62,0.006974
2.63,0.007156
2.64,0.007341
2.65,0.007406
2.66,0.007593
2.67,0.007784
2.68,0.007976
2.69,0.008172
2.7,0.00837
2.71,0.00857
2.72,0.008774
2.73,0.008979
2.74,0.009327
2.75,0.009398
2.76,0.009611
2.77,0.009827
2.78,0.010194
2.79,0.010417
2.8,0.01049
2.81,0.010716
2.82,0.010944
2.83,0.011175
2.84,0.011409
2.85,0.011644
2.86,0.011883
2.87,0.01229
2.88,0.012536
2.89,0.012783
2.9,0.013033
2.91,0.013112
2.92,0.013366
2.93,0.013621
2.94,0.013879
2.95,0.014322
2.96,0.014403
2.97,0.014669
2.98,0.014936
2.99,0.015207
3,0.015672
3.01,0.015754
3.02,0.016032
3.03,0.01651
3.04,0.016794
3.05,0.017082
3.06,0.017371
3.07,0.017456
3.08,0.017747
3.09,0.018042
3.1,0.018338
3.11,0.018637
3.12,0.018939
3.13,0.019243
3.14,0.019549
3.15,0.019857
3.16,0.020393
3.17,0.020481
3.18,0.020797
3.19,0.021115
3.2,0.021668
3.21,0.021992
3.22,0.022083
3.23,0.02241
3.24,0.02274
3.25,0.023072
3.26,0.023407
3.27,0.023743
3.28,0.024082
3.29,0.024674
3.3,0.02502
3.31,0.025368
3.32,0.025462
3.33,0.025812
3.34,0.026166
3.35,0.026521
3.36,0.026879
3.37,0.027505
3.38,0.027601
3.39,0.028236
3.4,0.028605
3.41,0.028703
3.42,0.029075
3.43,0.029449
3.44,0.029825
3.45,0.030204
3.46,0.030585
3.47,0.031255
3.48,0.031354
3.49,0.031743
3.5,0.032133
3.51,0.032526
3.52,0.032921
3.53,0.033616
3.54,0.034019
3.55,0.034423
3.56,0.034526
3.57,0.034933
3.58,0.035342
3.59,0.035753
3.6,0.036167
3.61,0.036584
3.62,0.037319
3.63,0.037742
3.64,0.037848
3.65,0.038273
3.66,0.038702
3.67,0.039133
3.68,0.039565
3.69,0.040001
3.7,0.04077
3.71,0.041213
3.72,0.041322
3.73,0.041766
3.74,0.042214
3.75,0.042664
3.76,0.043116
3.77,0.043571
3.78,0.044375
3.79,0.044487
3.8,0.045301
3.81,0.045766
3.82,0.04588
3.83,0.046349
3.84,0.04682
3.85,0.047294
3.86,0.04777
3.87,0.048616
3.88,0.049099
3.89,0.049585
3.9,0.049701
3.91,0.050189
3.92,0.050681
3.93,0.051174
3.94,0.05167
3.95,0.052168
3.96,0.053054
3.97,0.053173
3.98,0.053679
3.99,0.054187
4,0.054698
4.01,0.055211
4.02,0.055727
4.03,0.056644
4.04,0.057167
4.05,0.05729
4.06,0.057815
4.07,0.058343
4.08,0.058874
4.09,0.059408
4.1,0.059943
4.11,0.060482
4.12,0.06144
4.13,0.061566
4.14,0.062112
4.15,0.06266
4.16,0.063211
4.17,0.063765
4.18,0.064321
4.19,0.06488
4.2,0.065875
4.21,0.066004
4.22,0.067009
4.23,0.067579
4.24,0.067711
4.25,0.068285
4.26,0.068861
4.27,0.06944
4.28,0.070473
4.29,0.071059
4.3,0.071648
4.31,0.071782
4.32,0.072374
4.33,0.072968
4.34,0.073565
4.35,0.074165
4.36,0.074766
4.37,0.075842
4.38,0.076452
4.39,0.076589
4.4,0.077202
4.41,0.077817
4.42,0.078434
4.43,0.079054
4.44,0.079678
4.45,0.080791
4.46,0.081421
4.47,0.081563
4.48,0.082196
4.49,0.082831
4.5,0.083471
4.51,0.084112
4.52,0.084756
4.53,0.085907
4.54,0.086558
