time,d2m
2017-01-02 00:00:00,274.78745
2017-01-02 01:00:00,275.11774
2017-01-02 02:00:00,274.80463
2017-01-02 03:00:00,274.95914
2017-01-02 04:00:00,275.17737
2017-01-02 05:00:00,274.9849
2017-01-02 06:00:00,276.45334
2017-01-02 07:00:00,276.15424
2017-01-02 08:00:00,275.51083
2017-01-02 09:00:00,275.46835
2017-01-02 10:00:00,275.53522
2017-01-02 11:00:00,274.42236
2017-01-02 12:00:00,273.94028
2017-01-02 13:00:00,274.83398
2017-01-02 14:00:00,274.42508
2017-01-02 15:00:00,273.52097
2017-01-02 16:00:00,274.16437
2017-01-02 17:00:00,274.19058
2017-01-02 18:00:00,274.14767
2017-01-02 19:00:00,273.1455
2017-01-02 20:00:00,272.96115
2017-01-02 21:00:00,272.94446
2017-01-02 22:00:00,272.88074
2017-01-02 23:00:00,272.61325
2017-01-03 00:00:00,273.50516
2017-01-03 01:00:00,273.3231
2017-01-03 02:00:00,273.3972
2017-01-03 03:00:00,273.34116
2017-01-03 04:00:00,273.82053
2017-01-03 05:00:00,276.2735
2017-01-03 06:00:00,276.07877
2017-01-03 07:00:00,275.51535
2017-01-03 08:00:00,274.68173
2017-01-03 09:00:00,274.07944
2017-01-03 10:00:00,273.91724
2017-01-03 11:00:00,273.89825
2017-01-03 12:00:00,273.79974
2017-01-03 13:00:00,274.03018
2017-01-03 14:00:00,274.2466
2017-01-03 15:00:00,274.23892
2017-01-03 16:00:00,274.39392
2017-01-03 17:00:00,274.36633
2017-01-03 18:00:00,274.50507
2017-01-03 19:00:00,274.45355
2017-01-03 20:00:00,274.54572
2017-01-03 21:00:00,274.5927
2017-01-03 22:00:00,274.46213
2017-01-03 23:00:00,274.35458
2017-01-04 00:00:00,273.85715
2017-01-04 01:00:00,273.87296
2017-01-04 02:00:00,273.9353
2017-01-04 03:00:00,273.86752
2017-01-04 04:00:00,274.10834
2017-01-04 05:00:00,274.3433
2017-01-04 06:00:00,274.6632
2017-01-04 07:00:00,274.85614
2017-01-04 08:00:00,275.02557
2017-01-04 09:00:00,275.0364
2017-01-04 10:00:00,275.30478
2017-01-04 11:00:00,275.33643
2017-01-04 12:00:00,275.5027
2017-01-04 13:00:00,275.7128
2017-01-04 14:00:00,275.60797
2017-01-04 15:00:00,275.6125
2017-01-04 16:00:00,275.56052
2017-01-04 17:00:00,275.74667
2017-01-04 18:00:00,276.10272
2017-01-04 19:00:00,276.33316
2017-01-04 20:00:00,276.43256
2017-01-04 21:00:00,276.7651
2017-01-04 22:00:00,276.62006
2017-01-04 23:00:00,276.9666
2017-01-05 00:00:00,277.97556
2017-01-05 01:00:00,278.28235
2017-01-05 02:00:00,278.68716
2017-01-05 03:00:00,279.04953
2017-01-05 04:00:00,279.59805
2017-01-05 05:00:00,280.0318
2017-01-05 06:00:00,280.4154
2017-01-05 07:00:00,280.7633
2017-01-05 08:00:00,281.4221
2017-01-05 09:00:00,281.45868
2017-01-05 10:00:00,281.95343
2017-01-05 11:00:00,282.18478
2017-01-05 12:00:00,282.45767
2017-01-05 13:00:00,282.8824
2017-01-05 14:00:00,283.47565
2017-01-05 15:00:00,283.91934
2017-01-05 16:00:00,283.94104
2017-01-05 17:00:00,284.37976
2017-01-05 18:00:00,284.4412
2017-01-05 19:00:00,284.2225
2017-01-05 20:00:00,284.45792
2017-01-05 21:00:00,284.44257
2017-01-05 22:00:00,284.38202
2017-01-05 23:00:00,284.3228
2017-01-06 00:00:00,284.41724
2017-01-06 01:00:00,284.29932
2017-01-06 02:00:00,284.35037
2017-01-06 03:00:00,284.22748
