time,u100
2017-01-02 00:00:00,-9.985854
2017-01-02 01:00:00,-10.007476
2017-01-02 02:00:00,-9.382849
2017-01-02 03:00:00,-8.877542
2017-01-02 04:00:00,-8.809474
2017-01-02 05:00:00,-8.790255
2017-01-02 06:00:00,-8.410673
2017-01-02 07:00:00,-8.606871
2017-01-02 08:00:00,-8.948813
2017-01-02 09:00:00,-8.817482
2017-01-02 10:00:00,-8.49716
2017-01-02 11:00:00,-7.4537125
2017-01-02 12:00:00,-6.8226795
2017-01-02 13:00:00,-7.138997
2017-01-02 14:00:00,-6.3109655
2017-01-02 15:00:00,-5.7592115
2017-01-02 16:00:00,-5.9121656
2017-01-02 17:00:00,-5.8128653
2017-01-02 18:00:00,-5.4957476
2017-01-02 19:00:00,-4.8302794
2017-01-02 20:00:00,-4.449898
2017-01-02 21:00:00,-4.178425
2017-01-02 22:00:00,-4.0462923
2017-01-02 23:00:00,-3.24709
2017-01-03 00:00:00,-2.6128533
2017-01-03 01:00:00,-2.2685077
2017-01-03 02:00:00,-1.6903274
2017-01-03 03:00:00,-0.989624
2017-01-03 04:00:00,-0.98562
2017-01-03 05:00:00,-1.8977354
2017-01-03 06:00:00,-2.1996386
2017-01-03 07:00:00,-2.1515906
2017-01-03 08:00:00,-1.9225605
2017-01-03 09:00:00,-1.0240586
2017-01-03 10:00:00,-0.18001127
2017-01-03 11:00:00,0.4854567
2017-01-03 12:00:00,0.7128849
2017-01-03 13:00:00,1.0372105
2017-01-03 14:00:00,1.1797535
2017-01-03 15:00:00,1.218993
2017-01-03 16:00:00,1.0932667
2017-01-03 17:00:00,0.72970176
2017-01-03 18:00:00,0.4109819
2017-01-03 19:00:00,0.18675685
2017-01-03 20:00:00,-0.062293053
2017-01-03 21:00:00,-0.41624856
2017-01-03 22:00:00,-0.5243571
2017-01-03 23:00:00,-0.63967276
2017-01-04 00:00:00,-0.5227554
2017-01-04 01:00:00,-0.7373707
2017-01-04 02:00:00,-0.68131447
2017-01-04 03:00:00,-0.9575918
2017-01-04 04:00:00,-1.315551
2017-01-04 05:00:00,-1.7087457
2017-01-04 06:00:00,-2.7305715
2017-01-04 07:00:00,-2.9187605
2017-01-04 08:00:00,-3.3231661
2017-01-04 09:00:00,-3.9598053
2017-01-04 10:00:00,-3.7347796
2017-01-04 11:00:00,-3.3279712
2017-01-04 12:00:00,-3.186229
2017-01-04 13:00:00,-3.2006433
2017-01-04 14:00:00,-2.9011428
2017-01-04 15:00:00,-2.789831
2017-01-04 16:00:00,-2.994036
2017-01-04 17:00:00,-4.385833
2017-01-04 18:00:00,-4.9207697
2017-01-04 19:00:00,-5.8721256
2017-01-04 20:00:00,-5.482134
2017-01-04 21:00:00,-5.300351
2017-01-04 22:00:00,-5.571023
2017-01-04 23:00:00,-5.4941454
2017-01-05 00:00:00,-4.4875355
2017-01-05 01:00:00,-3.6987436
2017-01-05 02:00:00,-4.2889357
2017-01-05 03:00:00,-5.193845
2017-01-05 04:00:00,-5.2298803
2017-01-05 05:00:00,-5.6943464
2017-01-05 06:00:00,-5.7520046
2017-01-05 07:00:00,-5.4549065
2017-01-05 08:00:00,-4.897547
2017-01-05 09:00:00,-5.4789305
2017-01-05 10:00:00,-5.793647
2017-01-05 11:00:00,-6.052306
2017-01-05 12:00:00,-5.4701214
2017-01-05 13:00:00,-3.3431866
2017-01-05 14:00:00,0.28525567
2017-01-05 15:00:00,0.12029004
2017-01-05 16:00:00,-0.79422784
2017-01-05 17:00:00,4.7641516
2017-01-05 18:00:00,5.432022
2017-01-05 19:00:00,4.003388
2017-01-05 20:00:00,3.827211
2017-01-05 21:00:00,3.1841655
2017-01-05 22:00:00,4.2692547
2017-01-05 23:00:00,6.2784715
2017-01-06 00:00:00,7.804003
2017-01-06 01:00:00,6.6844788
2017-01-06 02:00:00,7.9849844
2017-01-06 03:00:00,6.8646603
2017-01-06 04:00:00,4.550337
2017-01-06 05:00:00,4.546333
2017-01-06 06:00:00,4.4350214
2017-01-06 07:00:00,7.558957
2017-01-06 08:00:00,8.191592
2017-01-06 09:00:00,7.470068
2017-01-06 10:00:00,6.9687643
2017-01-06 11:00:00,7.4492464
2017-01-06 12:00:00,8.2004
2017-01-06 13:00:00,8.08989
2017-01-06 14:00:00,7.8432426
2017-01-06 15:00:00,6.8094044
2017-01-06 16:00:00,5.582573
2017-01-06 17:00:00,5.0372257
2017-01-06 18:00:00,5.6490397
2017-01-06 19:00:00,6.0262184
2017-01-06 20:00:00,5.5897803
2017-01-06 21:00:00,6.4498434
2017-01-06 22:00:00,6.4250183
2017-01-06 23:00:00,6.69569
2017-01-07 00:00:00,4.487874
2017-01-07 01:00:00,5.2005897
2017-01-07 02:00:00,4.8442316
2017-01-07 03:00:00,6.1999927
2017-01-07 04:00:00,6.2912846
2017-01-07 05:00:00,5.1437325
2017-01-07 06:00:00,4.8506384
2017-01-07 07:00:00,5.687478
2017-01-07 08:00:00,6.0910835
2017-01-07 09:00:00,5.0572457
2017-01-07 10:00:00,3.6830664
2017-01-07 11:00:00,3.5981812
2017-01-07 12:00:00,2.7076874
2017-01-07 13:00:00,2.7941742
2017-01-07 14:00:00,5.6057963
2017-01-07 15:00:00,3.7142978
2017-01-07 16:00:00,2.863844
2017-01-07 17:00:00,3.0368176
2017-01-07 18:00:00,2.5627418
2017-01-07 19:00:00,4.6872745
2017-01-07 20:00:00,5.376766
2017-01-07 21:00:00,5.376766
2017-01-07 22:00:00,5.2206097
2017-01-07 23:00:00,5.017205
2017-01-08 00:00:00,4.276462
2017-01-08 01:00:00,4.794582
2017-01-08 02:00:00,5.55935
2017-01-08 03:00:00,5.546537
2017-01-08 04:00:00,5.637829
2017-01-08 05:00:00,5.669861
2017-01-08 06:00:00,5.892484
2017-01-08 07:00:00,6.216009
2017-01-08 08:00:00,7.030426
2017-01-08 09:00:00,6.0686607
2017-01-08 10:00:00,6.463457
2017-01-08 11:00:00,6.5195136
2017-01-08 12:00:00,6.503497
2017-01-08 13:00:00,5.5537443
2017-01-08 14:00:00,7.685484
2017-01-08 15:00:00,7.3163137
2017-01-08 16:00:00,5.583374
2017-01-08 17:00:00,6.38658
2017-01-08 18:00:00,7.5045023
2017-01-08 19:00:00,8.724927
2017-01-08 20:00:00,10.518728
2017-01-08 21:00:00,9.544149
2017-01-08 22:00:00,11.293105
2017-01-08 23:00:00,12.40382
2017-01-09 00:00:00,13.03165
2017-01-09 01:00:00,19.040882
2017-01-09 02:00:00,15.518947
2017-01-09 03:00:00,17.146181
2017-01-09 04:00:00,16.95559
2017-01-09 05:00:00,17.158192
2017-01-09 06:00:00,16.752186
2017-01-09 07:00:00,16.385416
2017-01-09 08:00:00,17.043678
2017-01-09 09:00:00,17.271107
2017-01-09 10:00:00,17.848486
2017-01-09 11:00:00,18.559599
2017-01-09 12:00:00,18.043882
2017-01-09 13:00:00,18.124763
2017-01-09 14:00:00,19.00885
2017-01-09 15:00:00,18.960001
2017-01-09 16:00:00,18.075113
2017-01-09 17:00:00,17.784422
2017-01-09 18:00:00,16.901134
2017-01-09 19:00:00,16.970804
2017-01-09 20:00:00,16.43987
2017-01-09 21:00:00,16.009039
2017-01-09 22:00:00,16.162794
2017-01-09 23:00:00,16.346178
2017-01-10 00:00:00,15.767997
2017-01-10 01:00:00,16.301332
2017-01-10 02:00:00,15.248275
2017-01-10 03:00:00,13.730752
2017-01-10 04:00:00,14.432256
2017-01-10 05:00:00,13.966188
2017-01-10 06:00:00,16.942776
2017-01-10 07:00:00,15.334762
2017-01-10 08:00:00,15.423651
2017-01-10 09:00:00,14.728553
2017-01-10 10:00:00,14.109532
2017-01-10 11:00:00,13.688309
2017-01-10 12:00:00,14.008631
2017-01-10 13:00:00,13.936559
2017-01-10 14:00:00,14.370594
2017-01-10 15:00:00,16.114746
2017-01-10 16:00:00,16.090721
2017-01-10 17:00:00,15.707936
2017-01-10 18:00:00,16.155586
2017-01-10 19:00:00,17.677113
2017-01-10 20:00:00,16.266897
2017-01-10 21:00:00,16.752985
2017-01-10 22:00:00,17.581818
2017-01-10 23:00:00,18.365004
2017-01-11 00:00:00,19.046488
2017-01-11 01:00:00,19.054495
2017-01-11 02:00:00,18.975216
2017-01-11 03:00:00,18.758999
2017-01-11 04:00:00,18.234472
2017-01-11 05:00:00,17.081316
2017-01-11 06:00:00,16.68732
2017-01-11 07:00:00,15.313941
2017-01-11 08:00:00,15.531759
2017-01-11 09:00:00,15.080106
2017-01-11 10:00:00,15.907336
2017-01-11 11:00:00,16.449482
2017-01-11 12:00:00,16.92676
2017-01-11 13:00:00,17.791628
2017-01-11 14:00:00,18.168806
2017-01-11 15:00:00,17.68432
2017-01-11 16:00:00,17.042877
2017-01-11 17:00:00,16.554386
2017-01-11 18:00:00,17.114948
2017-01-11 19:00:00,16.460693
2017-01-11 20:00:00,16.00023
2017-01-11 21:00:00,15.928958
2017-01-11 22:00:00,15.928958
2017-01-11 23:00:00,15.442069
2017-01-12 00:00:00,14.062284
2017-01-12 01:00:00,15.457285
2017-01-12 02:00:00,15.644672
2017-01-12 03:00:00,15.88091
2017-01-12 04:00:00,15.747176
2017-01-12 05:00:00,15.276303
2017-01-12 06:00:00,16.992426
2017-01-12 07:00:00,17.954992
2017-01-12 08:00:00,17.39603
2017-01-12 09:00:00,15.3659935
2017-01-12 10:00:00,15.537365
2017-01-12 11:00:00,16.792225
2017-01-12 12:00:00,16.337368
2017-01-12 13:00:00,16.392624
2017-01-12 14:00:00,17.090124
2017-01-12 15:00:00,17.088522
2017-01-12 16:00:00,15.3419695
2017-01-12 17:00:00,10.742953
2017-01-12 18:00:00,9.045249
2017-01-12 19:00:00,9.47448
2017-01-12 20:00:00,10.679689
2017-01-12 21:00:00,10.204813
2017-01-12 22:00:00,8.246047
2017-01-12 23:00:00,9.043647
2017-01-13 00:00:00,7.9473467
2017-01-13 01:00:00,9.034038
2017-01-13 02:00:00,8.334135
2017-01-13 03:00:00,7.868067
2017-01-13 04:00:00,8.485487
2017-01-13 05:00:00,8.1859865
2017-01-13 06:00:00,7.048044
2017-01-13 07:00:00,8.643246
2017-01-13 08:00:00,9.24545
2017-01-13 09:00:00,10.036644
2017-01-13 10:00:00,9.359964
2017-01-13 11:00:00,9.156561
2017-01-13 12:00:00,8.70731
2017-01-13 13:00:00,9.08689
